DATE,Car Sales,Income,Car Price
1/1/76,885.2,4625.1,65.5
2/1/76,994.7,4653.7,65.8
3/1/76,1243.6,4667.6,66.1
4/1/76,1191.2,4673.7,66.3
5/1/76,1203.2,4673.8,66.4
6/1/76,1254.7,4678.3,66.5
7/1/76,1162.3,4705.1,66.7
8/1/76,1026.1,4714.6,67.1
9/1/76,1057.9,4715.6,67.6
10/1/76,1129.4,4707.4,68.7
11/1/76,1084.4,4749.8,68.4
12/1/76,1061.8,4767.9,68.6
1/1/77,969.9,4758.3,68.8
2/1/77,1092.1,4716.2,68.9
3/1/77,1451.1,4782.4,69.3
4/1/77,1354.4,4789.7,69.4
5/1/77,1377.1,4790.6,69.7
6/1/77,1459.8,4810.5,70
7/1/77,1202,4841.6,70.3
8/1/77,1234.5,4861.2,70.6
9/1/77,1104.6,4887.8,70.9
10/1/77,1341.3,4923.4,72.1
11/1/77,1181.6,4962.7,72.6
12/1/77,1090.6,4983.5,73.6
1/1/78,931.3,4962,74.2
2/1/78,1071.4,4991.5,74.5
3/1/78,1480.6,5033,74.8
4/1/78,1406.5,5050.5,74.7
5/1/78,1557.6,5047.2,74.9
6/1/78,1549.4,5047.5,75.4
7/1/78,1289.2,5072.8,75.7
8/1/78,1317.1,5094.2,76
9/1/78,1103.5,5095.8,76.6
10/1/78,1397,5109.5,77.3
11/1/78,1248.7,5114.1,77.9
12/1/78,1068.5,5139.6,78.6
1/1/79,1077.5,5164,79
2/1/79,1148.7,5184.7,79.8
3/1/79,1483.8,5198.5,80.3
4/1/79,1304.6,5156.1,81.2
5/1/79,1373,5132.2,81.6
6/1/79,1183.8,5118.9,81.9
7/1/79,1164.4,5156.2,82.4
8/1/79,1207.2,5163.7,82.7
9/1/79,1029.6,5159.3,82.9
10/1/79,1197.6,5156.6,83.2
11/1/79,1018.6,5171.2,83.8
12/1/79,959.7,5182.2,84.2
1/1/80,1042,5218.8,85.2
2/1/80,1038.7,5191.3,86.3
3/1/80,1141.9,5159,86.5
4/1/80,946.6,5153.4,87.4
5/1/80,893.8,5134.3,88
6/1/80,932.7,5145.1,87.9
7/1/80,1006.6,5189.8,88.5
8/1/80,884.2,5194.8,89.8
9/1/80,847.4,5216.6,90.5
10/1/80,1043.4,5257.1,90.3
11/1/80,870.5,5264.5,90.6
12/1/80,821.4,5288.4,90.6
1/1/81,814.3,5267.1,90.9
2/1/81,949.2,5250.2,90.9
3/1/81,1178.8,5264.4,90.4
4/1/81,962.9,5249,91.9
5/1/81,933.1,5258.8,93.9
6/1/81,942.7,5287.2,94.7
7/1/81,896.9,5370.5,95.1
8/1/81,1009,5386.1,94.8
9/1/81,864.8,5376.3,95.1
10/1/81,822,5382.3,95.6
11/1/81,743,5385,96.1
12/1/81,673.2,5377.6,96.8
1/1/82,714.4,5384.7,96.9
2/1/82,840.5,5399.5,96.3
3/1/82,1057.3,5398.9,96
4/1/82,877.2,5452.7,96.8
5/1/82,1020.2,5430.3,97.2
6/1/82,868.4,5400.9,97.7
7/1/82,827.4,5450.4,98.1
8/1/82,794,5459.3,98.3
9/1/82,891.1,5457.7,98.3
10/1/82,840.9,5452.2,98
11/1/82,971.5,5474.3,97.9
12/1/82,839.3,5500.9,98.3
1/1/83,789.3,5520,98.6
2/1/83,821.6,5522.6,98.9
3/1/83,1102,5549.2,99
4/1/83,1012.3,5561.3,99.2
5/1/83,1109.9,5572.5,99.5
6/1/83,1205.4,5576.8,99.7
7/1/83,1051.7,5647,99.8
8/1/83,993.1,5635.9,100.3
9/1/83,980.4,5676.2,100.6
10/1/83,1126,5726.4,100.8
11/1/83,1050.2,5775,101
12/1/83,1054,5825.9,101.3
1/1/84,1056.9,5851.3,101.4
2/1/84,1158.9,5884.8,101.6
3/1/84,1351.5,5922.6,101.9
4/1/84,1245.8,5962.5,102.1
5/1/84,1451.7,5971,102.3
6/1/84,1315.9,6010.3,102.5
7/1/84,1237.2,6017.6,102.8
