Year,Month,Day,CPI,Date
1958,1,1,1.0,1/1/58
1958,2,1,1.0,2/1/58
1958,3,1,1.0,3/1/58
1958,4,1,1.0,4/1/58
1958,5,1,1.0,5/1/58
1958,6,1,1.0,6/1/58
1958,7,1,1.0,7/1/58
1958,8,1,1.0,8/1/58
1958,9,1,1.0,9/1/58
1958,10,1,1.0,10/1/58
1958,11,1,1.0,11/1/58
1958,12,1,1.0,12/1/58
1959,1,1,1.0,1/1/59
1959,2,1,1.0,2/1/59
1959,3,1,1.0,3/1/59
1959,4,1,1.0,4/1/59
1959,5,1,1.0,5/1/59
1959,6,1,1.0,6/1/59
1959,7,1,1.0,7/1/59
1959,8,1,1.0,8/1/59
1959,9,1,1.0,9/1/59
1959,10,1,1.0,10/1/59
1959,11,1,1.1,11/1/59
1959,12,1,1.1,12/1/59
1960,1,1,1.1,1/1/60
1960,2,1,1.1,2/1/60
1960,3,1,1.0,3/1/60
1960,4,1,1.1,4/1/60
1960,5,1,1.1,5/1/60
1960,6,1,1.1,6/1/60
1960,7,1,1.1,7/1/60
1960,8,1,1.1,8/1/60
1960,9,1,1.1,9/1/60
1960,10,1,1.1,10/1/60
1960,11,1,1.1,11/1/60
1960,12,1,1.1,12/1/60
1961,1,1,1.1,1/1/61
1961,2,1,1.1,2/1/61
1961,3,1,1.1,3/1/61
1961,4,1,1.1,4/1/61
1961,5,1,1.1,5/1/61
1961,6,1,1.1,6/1/61
1961,7,1,1.1,7/1/61
1961,8,1,1.1,8/1/61
1961,9,1,1.2,9/1/61
1961,10,1,1.1,10/1/61
1961,11,1,1.1,11/1/61
1961,12,1,1.1,12/1/61
1962,1,1,1.1,1/1/62
1962,2,1,1.1,2/1/62
1962,3,1,1.1,3/1/62
1962,4,1,1.1,4/1/62
1962,5,1,1.1,5/1/62
1962,6,1,1.1,6/1/62
1962,7,1,1.1,7/1/62
1962,8,1,1.2,8/1/62
1962,9,1,1.2,9/1/62
1962,10,1,1.2,10/1/62
1962,11,1,1.2,11/1/62
1962,12,1,1.2,12/1/62
1963,1,1,1.2,1/1/63
1963,2,1,1.2,2/1/63
1963,3,1,1.2,3/1/63
1963,4,1,1.2,4/1/63
1963,5,1,1.2,5/1/63
1963,6,1,1.2,6/1/63
1963,7,1,1.2,7/1/63
1963,8,1,1.2,8/1/63
1963,9,1,1.3,9/1/63
1963,10,1,1.3,10/1/63
1963,11,1,1.3,11/1/63
1963,12,1,1.3,12/1/63
1964,1,1,1.3,1/1/64
1964,2,1,1.3,2/1/64
1964,3,1,1.3,3/1/64
1964,4,1,1.3,4/1/64
1964,5,1,1.3,5/1/64
1964,6,1,1.3,6/1/64
1964,7,1,1.3,7/1/64
1964,8,1,1.4,8/1/64
1964,9,1,1.3,9/1/64
1964,10,1,1.3,10/1/64
1964,11,1,1.3,11/1/64
1964,12,1,1.4,12/1/64
1965,1,1,1.3,1/1/65
1965,2,1,1.3,2/1/65
1965,3,1,1.3,3/1/65
1965,4,1,1.3,4/1/65
1965,5,1,1.3,5/1/65
1965,6,1,1.3,6/1/65
1965,7,1,1.3,7/1/65
1965,8,1,1.3,8/1/65
1965,9,1,1.3,9/1/65
1965,10,1,1.3,10/1/65
1965,11,1,1.3,11/1/65
1965,12,1,1.3,12/1/65
1966,1,1,1.4,1/1/66
1966,2,1,1.4,2/1/66
1966,3,1,1.4,3/1/66
1966,4,1,1.4,4/1/66
1966,5,1,1.4,5/1/66
1966,6,1,1.4,6/1/66
1966,7,1,1.4,7/1/66
1966,8,1,1.4,8/1/66
1966,9,1,1.4,9/1/66
1966,10,1,1.4,10/1/66
1966,11,1,1.4,11/1/66
1966,12,1,1.4,12/1/66
1967,1,1,1.4,1/1/67
1967,2,1,1.5,2/1/67
1967,3,1,1.4,3/1/67
1967,4,1,1.4,4/1/67
1967,5,1,1.4,5/1/67
1967,6,1,1.4,6/1/67
1967,7,1,1.5,7/1/67
1967,8,1,1.5,8/1/67
1967,9,1,1.5,9/1/67
1967,10,1,1.5,10/1/67
1967,11,1,1.5,11/1/67
1967,12,1,1.5,12/1/67
1968,1,1,1.5,1/1/68
1968,2,1,1.5,2/1/68
1968,3,1,1.5,3/1/68
1968,4,1,1.5,4/1/68
1968,5,1,1.5,5/1/68
1968,6,1,1.5,6/1/68
1968,7,1,1.5,7/1/68
1968,8,1,1.5,8/1/68
1968,9,1,1.5,9/1/68
1968,10,1,1.5,10/1/68
1968,11,1,1.5,11/1/68
1968,12,1,1.5,12/1/68
1969,1,1,1.5,1/1/69
1969,2,1,1.5,2/1/69
1969,3,1,1.5,3/1/69
1969,4,1,1.5,4/1/69
1969,5,1,1.5,5/1/69
1969,6,1,1.5,6/1/69
1969,7,1,1.5,7/1/69
1969,8,1,1.5,8/1/69
1969,9,1,1.5,9/1/69
1969,10,1,1.5,10/1/69
1969,11,1,1.5,11/1/69
1969,12,1,1.6,12/1/69
1970,1,1,1.6,1/1/70
1970,2,1,1.6,2/1/70
1970,3,1,1.6,3/1/70
1970,4,1,1.7,4/1/70
1970,5,1,1.7,5/1/70
